priority,visible,name,full_name,date_sem,year,image,medium,dimensions,tools,role,description,external_url
1,yes,Home Radar,Home Radar – VCU Apartment Hunting,"Nov,",2022,,Hand-coded Website,,"[CSS, HTML, JS, Jekyll, GitHub Pages]","[web design, UI/UX]",,https://home-radar.github.io
1,yes,VCUarts Alumni Gift Guide,VCUarts Alumni Gift Guide,"Oct. 14,",2022,,Website,,"[Wordpress, CSS, adobe XD]","[web design, UI/UX]",,https://go.arts.vcu.edu/alumni-gift-guide
1,yes,Guide to GDES,The Survival Guide to GDES,"Oct,",2021,guide-to-gdes.png,Pamphlet,"11"" x 17"" (unfolded)","[inDesign, Illustrator]","[print, interaction design]",,
1,yes,Billionaires and the Wealth Gap,Billionaires and the Wealth Gap in America,Fall,2021,,Pamphlet,,"[inDesign, Illustrator, Procreate, Photoshop]","[print, interaction design]",,
2,yes,Chatty Catty,Chatty Catty,Fall,2022,,Website mockup, ,"[Figma, Illustrator]",[web design],,
2,yes,Dr. Yasmiyn Irizarry,Dr. Yasmiyn Irizarry Website,Spring,2022,,Website mockup,,[Adobe XD],[web design],,
2,yes,Kyree's Squishies,Kyree's Squishies – Passion Website,Spring,2022,,Hand-coded website,,"[CSS, HTML, JS, GitHub Pages]",[web design],,https://cowthat.github.io/class-site/projects/final-site/index.html
2,yes,The World of Asteria,Bill,May,2022,,Book publication,"5.5"" x 8.5""","[inDesign, Procreate]",[publication],,
2,yes,VCUarts Internship,VCUarts Internship,2019 –,2021,,,,,,,
2,yes,Plants and Mankind,Plants and Mankind,Fall,2020,,Book publication,"5.5"" x 8.5""","[inDesign, Illustrator, Procreate]",[publication],,
3,yes,sitting alone at a rave.,sitting alone at a rave.,Spring,2021,,Collage posters,Size varies,[Photoshop],[print],,
3,yes,Corporate Zine,Corporate Zine,Spring,2021,,Book publication,"5.5"" x 8.5""","[inDesign, Procreate, Illustrator]",[publication],,
3,no,Collaborative Dialogue,Collaborative Dialogue,Spring,2022,,Digital collages,"8"" x 8""",,[fine art],,
4,no,Flawless,Flawless Font,,,,Font design,,"[Illustrator, Fontself]",,,
4,no,FUG,FUG,Spring,2022,,Digital drawing,,[Procreate],[fine art],,
4,no,ASL,ASL,Spring,2022,,,,[Premiere Pro],[other],,
4,no,Portraits,Portraits,2020 –,2021,,Portrait drawings,,,[fine art],,
4,no,Flowerboy,Flowerboy,Spring,2021,,Album cover redesign,,[Photoshop],,,
4,no,"Home Alone, Together","Home Alone, Together",Spring,2021,,"Zine, poster, and website",,,,,
4,no,NDC internship,NDC internship,2019 –,2020,,,,,,,
4,no,Depillar's Commemoration,,"Dec,",2021,,,,,,,